,price,location,baths,bedrooms,Total_Area
10082,495.0,DHA Defence,7,6,5445.0
10086,110.0,E-18,6,6,2178.008
10089,270.0,G-11,4,4,1361.255
10090,525.0,DHA Defence,7,6,5445.0
10091,300.0,Bahria Town,5,5,2722.51
10092,1500.0,F-7,7,7,114345.0
10093,1850.0,F-6,6,5,103455.0
10094,525.0,DHA Defence,7,7,5445.0
10095,125.0,Bahria Town,3,3,1361.255
10096,270.0,G-8,6,5,18240.817
10097,23.0,DHA Defence,2,2,1361.255
10098,1050.0,F-6,6,6,87120.0
10099,1075.0,F-8,5,5,98010.0
10101,1500.0,F-10,7,7,114345.0
10102,130.0,Bahria Town,2,2,1361.255
10103,2000.0,E-7,6,5,10890.0
10104,230.0,H-13,9,9,2722.51
10105,230.0,H-13,9,9,2722.51
10106,38.0,D-14,2,2,1361.255
10107,175.0,G-15,5,4,2178.008
10108,175.0,I-10,3,4,1633.506
10109,225.0,I-10,6,4,1633.506
10110,325.0,Bahria Town,5,5,2722.51
10111,950.0,F-7,1,5,5445.0
10113,410.0,G-10,7,8,2994.7609999999995
10114,75.0,Pakistan Town,3,2,1361.255
10115,1800.0,F-6,5,5,108900.0
10116,1100.0,F-8,3,3,65340.0
10117,65.0,DHA Defence,3,3,2178.008
10118,210.0,G-9,3,3,18240.817
10119,258.0,G-13,7,5,1905.757
10120,385.0,DHA Defence,5,5,5445.0
10121,360.0,G-13,8,7,2722.51
10122,500.0,Royal Avenue,9,8,47643.925
10123,245.0,G-13,8,5,1905.757
10124,157.0,G-13,5,3,1089.004
10126,170.0,G-13,5,3,1089.004
10127,165.0,G-13,5,3,1089.004
10128,155.0,G-13,5,3,1089.004
10129,135.0,F-17,7,6,1905.757
10134,600.0,F-11,4,4,5445.0
10135,160.0,CBR Town,6,5,2178.008
10136,245.0,CBR Town,7,6,38659.642
10137,158.0,CBR Town,6,5,2178.008
10138,295.0,Soan Garden,8,6,5445.0
10139,140.0,Soan Garden,4,4,1905.757
10140,150.0,Soan Garden,6,5,2178.008
10141,155.0,G-13,5,4,1089.004
10143,160.0,G-13,5,4,1089.004
10144,250.0,G-13,5,4,1905.757
10145,295.0,F-17,8,7,5445.0
10146,299.0,F-17,8,7,5445.0
10147,297.0,F-17,8,7,5445.0
10148,298.0,F-17,8,7,5445.0
10149,300.0,F-17,8,7,5445.0
10150,220.0,F-17,7,6,3811.514
10151,222.0,F-17,7,6,3811.514
10152,226.0,F-17,7,6,3811.514
10153,220.0,F-17,7,6,3811.514
10161,225.0,F-17,7,6,3811.514
10162,210.0,G-13,5,4,1905.757
10163,185.0,F-17,7,6,3267.012
10164,182.0,F-17,7,6,3267.012
10165,178.0,F-17,7,6,3267.012
10166,450.0,Bani Gala,6,7,81675.0
10167,175.0,F-17,7,6,3267.012
10168,180.0,F-17,7,6,3267.012
10169,144.0,F-17,7,6,2178.008
10170,141.0,F-17,7,6,2178.008
10171,146.0,F-17,7,6,2178.008
10172,575.0,Bahria Town,5,5,70785.0
10173,530.0,Bahria Town,5,5,65340.0
10174,142.0,F-17,7,6,2178.008
10175,145.0,F-17,7,6,2178.008
10181,230.0,CBR Town,7,8,3267.012
10183,175.0,PWD Housing Scheme,6,5,2722.51
10184,130.0,Ghauri Town,5,6,2178.008
10187,185.0,DHA Defence,5,5,1361.255
10188,245.0,G-13,7,5,1905.757
10190,225.0,PWD Housing Scheme,6,6,3267.012
10191,118.0,Soan Garden,4,4,1633.506
10193,140.0,National Police Foundation O-9,5,5,1905.757
10194,250.0,National Police Foundation O-9,7,7,5445.0
10197,360.0,G-13,8,6,2722.51
10198,165.0,G-13,5,3,1089.004
10199,258.0,G-13,7,5,1905.757
10200,140.0,Bahria Town,5,3,1361.255
10201,1600.0,F-8,7,7,5445.0
10202,95.0,Bhara kahu,5,4,2722.51
10203,475.0,G-13,6,6,38659.642
10209,440.0,G-13,8,6,3267.012
10210,275.0,E-11,5,5,1633.506
10211,1400.0,F-7,7,7,5445.0
10212,160.0,G-13,4,3,11979.043999999998
10213,120.0,Royal Avenue,6,4,1361.255
10214,162.0,G-13,5,5,11979.043999999998
10215,400.0,F-15,8,7,5445.0
10216,170.0,F-15,4,4,2178.008
10217,170.0,F-15,4,4,2178.008
10218,350.0,G-13,6,6,2722.51
10219,610.0,G-13,6,6,5445.0
10220,130.0,PWD Housing Scheme,5,5,25319.343
10221,140.0,Soan Garden,7,5,29130.857
10222,165.0,G-13,5,4,11979.043999999998
10223,450.0,DHA Defence,7,6,5445.0
10224,425.0,G-10,7,7,3811.514
10225,240.0,G-10,5,5,1361.255
10226,750.0,F-11,8,7,5445.0
10227,725.0,F-11,8,7,70785.0
10228,475.0,F-11,7,7,2450.259
10229,490.0,F-11,6,6,2450.259
10230,400.0,F-11,6,6,2450.259
10231,375.0,F-11,4,4,2450.259
10232,350.0,F-11,4,4,1633.506
10233,950.0,F-11,6,6,70785.0
10234,1000.0,F-11,6,6,70785.0
10235,1300.0,F-11,8,7,70785.0
10236,650.0,F-11,5,5,5445.0
10237,590.0,F-11,4,4,5445.0
10245,95.0,Soan Garden,5,5,1633.506
10246,255.0,G-13,5,5,2178.008
10248,850.0,F-8,5,4,5445.0
10261,95.0,Alipur Farash,6,4,1361.255
10266,285.0,G-13,5,5,1905.757
10267,170.0,G-13,4,4,1089.004
10268,170.0,G-11,4,4,1361.255
10269,240.0,G-10,4,4,1905.757
10270,180.0,G-11,3,4,1361.255
10271,220.0,E-11,4,4,1089.004
10272,160.0,Islamabad Expressway,7,7,2178.008
10273,500.0,F-15,8,7,5445.0
10274,285.0,G-13,6,5,2178.008
10275,415.0,F-15,8,7,5445.0
10276,500.0,F-15,8,7,5445.0
10277,415.0,F-15,8,7,5445.0
10278,290.0,G-15,8,7,5445.0
10279,290.0,G-15,8,7,5445.0
10280,245.0,G-15,6,6,3267.012
10281,410.0,G-15,8,7,5445.0
10282,245.0,G-15,6,6,3267.012
10283,410.0,G-15,8,7,5445.0
10284,24.0,Bhara kahu,2,2,6806.275
10285,275.0,G-15,6,6,3267.012
10286,275.0,G-15,6,6,3267.012
10287,145.0,G-15,5,5,1905.757
10288,145.0,G-15,5,5,1905.757
10289,145.0,G-15,5,5,1905.757
10290,145.0,G-15,5,5,1905.757
10291,145.0,G-15,5,5,1905.757
10292,145.0,G-15,5,5,1905.757
10293,155.0,G-15,5,5,1905.757
10294,155.0,G-15,5,5,1905.757
10302,385.0,G-9,8,7,2722.51
10303,175.0,I-10,5,4,15246.056
10304,135.0,Bhara kahu,7,6,2722.51
10305,215.0,G-10,4,3,18240.817
10306,170.0,D-17,6,5,2178.008
10311,70.0,Ghauri Town,3,2,1361.255
10315,62.0,Faisal Town - F-18,4,5,9528.785
10316,190.0,G-13,4,4,2178.008
10318,355.0,G-13,6,6,29675.359
10320,165.0,G-13,5,4,11979.043999999998
10321,275.0,G-13,7,6,2178.008
10322,350.0,G-13,7,7,29675.359
10323,350.0,G-13,7,7,29675.359
10324,275.0,G-13,7,6,2178.008
10325,165.0,G-13,5,4,11979.043999999998
10326,180.0,Emaar Canyon Views,4,3,3811.514
10328,154.0,G-13,5,3,1089.004
10329,260.0,G-10,4,4,43560.0
10330,160.0,CBR Town,7,5,2178.008
10331,215.0,F-17,6,6,2722.51
10334,375.0,G-9,5,10,2722.51
10335,140.0,G-13,4,4,1089.004
10336,1000.0,F-8,5,5,70785.0
10339,1450.0,F-10,5,5,136125.0
10341,310.0,G-13,6,6,2178.008
10342,130.0,Soan Garden,4,3,2722.51
10343,800.0,E-11,9,9,5445.0
10355,380.0,G-9,6,6,2722.51
10356,440.0,DHA Defence,6,5,5445.0
10357,410.0,DHA Defence,7,6,5445.0
10358,140.0,H-13,3,3,1905.757
10359,295.0,DHA Defence,6,5,2722.51
10360,24.0,DHA Defence,2,2,1361.255
10387,330.0,DHA Defence,6,5,5445.0
10388,45.0,DHA Defence,4,3,2178.008
10389,65.0,DHA Defence,4,3,2178.008
10390,215.0,DHA Defence,4,3,3267.012
10391,375.0,Emaar Canyon Views,5,5,5445.0
10392,158.0,G-13,5,3,1089.004
10393,265.0,G-13,7,5,1905.757
10395,60.0,Jhang Syedan,3,3,1361.255
10396,157.0,G-13,3,3,1089.004
10473,170.0,G-13,5,5,1089.004
10474,170.0,G-13,5,3,11979.043999999998
10475,245.0,G-13,6,6,1905.757
10476,270.0,G-13,6,6,1905.757
10477,165.0,G-13,4,4,1089.004
10478,150.0,G-13,4,4,1089.004
10479,150.0,G-13,4,4,1089.004
10480,375.0,G-13,7,7,2722.51
10481,355.0,G-13,7,7,2722.51
10483,195.0,G-15,6,4,2178.008
10484,105.0,Pakistan Town,3,3,2722.51
10485,55.0,Ghauri Town,3,3,1089.004
10486,55.0,Ghauri Town,3,3,1089.004
10487,55.0,Ghauri Town,3,3,1089.004
10488,40.0,Ghauri Town,4,4,816.7529999999999
10490,140.0,G-13,4,4,11979.043999999998
10491,400.0,G-13,6,6,38659.642
10492,215.0,G-13,6,4,2178.008
10493,170.0,G-11,4,4,11979.043999999998
10494,155.0,G-11,4,4,11979.043999999998
10495,175.0,G-11,3,3,15246.056
10496,160.0,I-10,4,4,1089.004
10497,210.0,I-10,4,4,1361.255
10498,195.0,I-10,4,4,1633.506
10500,170.0,I-11,4,4,1633.506
10501,270.0,G-13,6,5,2178.008
10502,135.0,I-10,3,3,1361.255
10504,165.0,G-13,5,4,11979.043999999998
10505,475.0,E-11,6,6,3267.012
10506,250.0,G-11,4,4,14973.804999999998
10507,255.0,G-11,4,4,14973.804999999998
10508,750.0,DHA Defence,6,5,5445.0
10509,118.0,Soan Garden,3,4,2178.008
10510,135.0,I-13,6,6,1361.255
10511,118.0,Soan Garden,4,4,21780.0
10512,120.0,Soan Garden,4,4,15246.056
10513,165.0,G-13,5,3,11979.043999999998
10514,85.0,Chatha Bakhtawar,6,4,1361.255
10515,160.0,G-13,5,3,1089.004
10516,155.0,Soan Garden,5,5,2722.51
10517,260.0,G-13,7,5,1905.757
10518,25.0,DHA Defence,2,2,1361.255
10519,320.0,G-13,10,8,1905.757
10520,180.0,D-12,5,5,1089.004
10521,50.0,Jhangi Syedan,3,2,1089.004
10522,185.0,G-15,4,4,2178.008
10523,185.0,G-15,4,4,2178.008
10524,187.0,G-15,4,4,2178.008
10525,187.0,G-15,4,4,2178.008
10526,189.0,G-15,4,4,2178.008
10527,189.0,G-15,4,4,2178.008
10528,190.0,G-15,4,4,2178.008
